rank,rider,rider_number,team,time,bonus,penalty,stage,date,distance,origin,destination,stage_type,winner_country,general,points,mountains,young,stage_winner,time_seconds,cumtime,gc_rank,timediff
124,Edvald Boasson Hagen,192,Ntt Pro Cycling Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212435,93,1816
107,Michael Gogl,194,Ntt Pro Cycling Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212443,94,1816
119,Clément Venturini,37,Ag2r La Mondiale,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212487,95,1816
118,Pierre Latour,34,Ag2r La Mondiale,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212525,96,1816
83,Tejay Van Garderen,78,Ef Pro Cycling,5H 28M 52S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19732,212555,97,1640
129,Luka Mezgec,167,Mitchelton - Scott,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212651,98,1816
79,Cyril Barthe,212,B&B Hotels - Vital Concept P / B Ktm,5H 28M 20S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19700,212701,99,1608
10,David De La Cruz,133,Uae Team Emirates,5H 5M 39S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,18339,212844,100,247
88,Christopher Juul Jensen,166,Mitchelton - Scott,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,212903,101,1705
106,Matthieu Ladagnous,55,Groupama - Fdj,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212907,102,1816
110,Sonny Colbrelli,64,Bahrain - Mclaren,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,212933,103,1816
85,Tiesj Benoot,201,Team Sunweb,5H 29M 10S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19750,212974,104,1658
92,Imanol Erviti,93,Movistar Team,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,212984,105,1705
99,Pierre Luc Perichon,127,Cofidis,5H 30M 18S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19818,212997,106,1726
93,Andrey Amador,2,Ineos Grenadiers,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,213067,107,1705
90,Daryl Impey,165,Mitchelton - Scott,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,213124,108,1705
104,Alessandro De Marchi,112,Ccc Team,5H 31M 40S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19900,213151,109,1808
66,Dayer Quintana,85,Team Arkea - Samsic,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,213187,110,1406
143,Daniel Oss,26,Bora - Hansgrohe,5H 32M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19979,213191,111,1887
91,Connor Swift,88,Team Arkea - Samsic,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,213484,112,1705
103,Marco Marcato,137,Uae Team Emirates,5H 31M 40S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19900,213707,113,1808
94,Fabien Grellier,185,Total Direct Energie,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,213779,114,1705
101,Kasper Asgreen,42,Deceuninck - Quick - Step,5H 30M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19859,213865,115,1767
133,Edward Theuns,108,Trek - Segafredo,5H 32M 4S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19924,213890,116,1832
138,Hugo Hofstetter,174,Israel Start-Up Nation,5H 32M 47S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19967,213904,117,1875
147,Christophe Laporte,125,Cofidis,5H 33M 5S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19985,213911,118,1893
36,Rémi Cavagna,44,Deceuninck - Quick - Step,5H 12M 46S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,18766,213919,119,674
134,Casper Phillip Pedersen,207,Team Sunweb,5H 32M 10S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19930,214028,120,1838
122,Joris Nieuwenhuis,206,Team Sunweb,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,214041,121,1816
145,Bryan Coquard,211,B&B Hotels - Vital Concept P / B Ktm,5H 32M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19979,214059,122,1887
78,Nils Politt,177,Israel Start-Up Nation,5H 26M 40S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19600,214310,123,1508
158,Tim Declercq,45,Deceuninck - Quick - Step,5H 36M 8S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,20168,214343,124,2076
148,Simone Consonni,122,Cofidis,5H 33M 5S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19985,214420,125,1893
35,Pavel Sivakov,7,Ineos Grenadiers,5H 12M 13S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,18733,214438,126,641
109,Jonas Koch,115,Ccc Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,214460,127,1816
128,Amund Grøndahl Jansen,13,Team Jumbo - Visma,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,214607,128,1816
136,Anthony Turgis,188,Total Direct Energie,5H 32M 15S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19935,214619,129,1843
86,Benoit Cosnefroy,33,Ag2r La Mondiale,5H 29M 15S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19755,214626,130,1663
97,Tony Martin,17,Team Jumbo - Visma,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,214680,131,1705
108,Ryan Gibbons,193,Ntt Pro Cycling Team,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,214687,132,1816
98,Kévin Ledanois,84,Team Arkea - Samsic,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,214730,133,1705
144,Lukas Pöstlberger,27,Bora - Hansgrohe,5H 32M 59S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19979,214755,134,1887
96,Geoffrey Soupe,187,Total Direct Energie,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,214853,135,1705
126,Nikias Arndt,202,Team Sunweb,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,214901,136,1816
157,Michael Mørkøv,48,Deceuninck - Quick - Step,5H 36M 8S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,20168,214964,137,2076
58,Wouter Poels,67,Bahrain - Mclaren,5H 24M 58S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19498,215013,138,1406
152,Alexander Kristoff,135,Uae Team Emirates,5H 33M 11S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19991,215134,139,1899
139,Kévin Reza,217,B&B Hotels - Vital Concept P / B Ktm,5H 32M 50S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19970,215136,140,1878
132,Mads Pedersen,105,Trek - Segafredo,5H 32M 4S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19924,215144,141,1832
116,Jens Debusschere,214,B&B Hotels - Vital Concept P / B Ktm,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,215153,142,1816
135,Maximilian Walscheid,198,Ntt Pro Cycling Team,5H 32M 10S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19930,215264,143,1838
111,Elia Viviani,128,Cofidis,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,215325,144,1816
150,Jasper De Buyst,153,Lotto Soudal,5H 33M 5S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19985,215382,145,1893
117,Clément Russo,87,Team Arkea - Samsic,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,215454,146,1816
151,Caleb Ewan,151,Lotto Soudal,5H 33M 5S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19985,215584,147,1893
130,Mathieu Burgaudeau,182,Total Direct Energie,5H 32M 4S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19924,215607,148,1832
154,Cees Bol,203,Team Sunweb,5H 33M 32S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,20012,215611,149,1920
84,Guy Niv,176,Israel Start-Up Nation,5H 28M 52S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19732,215650,150,1640
87,Luke Rowe,6,Ineos Grenadiers,5H 29M 57S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19797,215655,151,1705
105,André Greipel,172,Israel Start-Up Nation,5H 31M 48S,0,0,13,2020-09-11,191.5,Châtel-Guyon,Puy Mary,Medium mountain stage,COL,11,43,33,131,NA,19908,215675,152,1816
