Rank,Rider,Rank.1,Rider No.,Team,Times,Gap,B,P,year,edition
141,LILIAN CALMEJANE,141,183,TOTAL DIRECT ENERGIE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
142,GEOFFREY SOUPE,142,187,TOTAL DIRECT ENERGIE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
143,GIACOMO NIZZOLO,143,191,NTT PRO CYCLING TEAM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
144,MATTEO TRENTIN,144,117,CCC TEAM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
145,LUKA MEZGEC,145,167,MITCHELTON - SCOTT,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
146,SAMUEL BEWLEY,146,163,MITCHELTON - SCOTT,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
147,ALEXANDER KRISTOFF,147,135,UAE TEAM EMIRATES,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
148,ANDRÉ GREIPEL,148,172,ISRAEL START-UP NATION,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
149,LUKE ROWE,149,6,INEOS GRENADIERS,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
150,JENS DEBUSSCHERE,150,214,B&B HOTELS - VITAL CONCEPT P / B KTM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
151,FREDERIK FRISON,151,156,LOTTO SOUDAL,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
152,JONAS KOCH,152,115,CCC TEAM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
153,CALEB EWAN,153,151,LOTTO SOUDAL,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
154,CHRISTOPHER JUUL JENSEN,154,166,MITCHELTON - SCOTT,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
155,JORIS NIEUWENHUIS,155,206,TEAM SUNWEB,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
156,WOUTER POELS,156,67,BAHRAIN - MCLAREN,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
157,JASPER DE BUYST,157,153,LOTTO SOUDAL,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
158,MADS PEDERSEN,158,105,TREK - SEGAFREDO,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
159,MICHAEL MØRKØV,159,48,DECEUNINCK - QUICK - STEP,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
160,NIKIAS ARNDT,160,202,TEAM SUNWEB,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
161,MAXIMILIAN WALSCHEID,161,198,NTT PRO CYCLING TEAM,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
162,CHRISTOPHE LAPORTE,162,125,COFIDIS,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
163,JÉRÔME COUSIN,163,184,TOTAL DIRECT ENERGIE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
164,WILLIAM BONNET,164,52,GROUPAMA - FDJ,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
165,CLÉMENT VENTURINI,165,37,AG2R LA MONDIALE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
166,BENOIT COSNEFROY,166,33,AG2R LA MONDIALE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
167,GUY NIV,167,176,ISRAEL START-UP NATION,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
168,NICCOLÒ BONIFAZIO,168,181,TOTAL DIRECT ENERGIE,05h 03' 43'',+ 00h 31' 09'',-,-,2020.0,107.0
